ASK / UAT Crosswalk by Katie Frey (https://orcid.org/0000-0001-9891-4465),,,,
Subject Source: Astronomy Subject Keywords,,Version 2013,https://journals.aas.org/authors/keywords2013.html,
"Instr, Meth, Tech",space vehicles: instruments,exactMatch,Space vehicle instruments,http://astrothesaurus.org/uat/1548
"Instr, Meth, Tech",techniques: high angular resolution,exactMatch,High angular resolution,http://astrothesaurus.org/uat/2167
"Instr, Meth, Tech",techniques: image processing,(no match),,
"Instr, Meth, Tech",techniques: imaging spectroscopy,relatedMatch,Spectroscopy,http://astrothesaurus.org/uat/1558
"Instr, Meth, Tech",techniques: interferometric,broadMatch,Interferometry,http://astrothesaurus.org/uat/808
"Instr, Meth, Tech",techniques: miscellaneous,exactMatch,Astronomical techniques,http://astrothesaurus.org/uat/1684
"Instr, Meth, Tech",techniques: photometric,broadMatch,Photometric systems,http://astrothesaurus.org/uat/1233
"Instr, Meth, Tech",techniques: photometric,broadMatch,Photometry,http://astrothesaurus.org/uat/1234
"Instr, Meth, Tech",techniques: polarimetric,broadMatch,Polarimetry,http://astrothesaurus.org/uat/1278
"Instr, Meth, Tech",techniques: radar astronomy,exactMatch,Radar astronomy,http://astrothesaurus.org/uat/1329
"Instr, Meth, Tech",techniques: radar astronomy,relatedMatch,Radar telescopes,http://astrothesaurus.org/uat/1330
"Instr, Meth, Tech",techniques: radial velocities,exactMatch,Radial velocity,http://astrothesaurus.org/uat/1332
"Instr, Meth, Tech",techniques: spectroscopic,broadMatch,Spectrophotometry,http://astrothesaurus.org/uat/1556
"Instr, Meth, Tech",telescopes,exactMatch,Telescopes,http://astrothesaurus.org/uat/1689
"ISM, Nebulae",(ISM:) cosmic rays,relatedMatch,Secondary cosmic rays,http://astrothesaurus.org/uat/1438
"ISM, Nebulae",(ISM:) cosmic rays,relatedMatch,Cosmic ray astronomy,http://astrothesaurus.org/uat/324
"ISM, Nebulae",(ISM:) cosmic rays,exactMatch,Cosmic rays,http://astrothesaurus.org/uat/329
"ISM, Nebulae",(ISM:) cosmic rays,relatedMatch,Galactic cosmic rays,http://astrothesaurus.org/uat/567
"ISM, Nebulae","(ISM:) dust, extinction",relatedMatch,Circumstellar dust,http://astrothesaurus.org/uat/236
"ISM, Nebulae","(ISM:) dust, extinction",relatedMatch,Extinction,http://astrothesaurus.org/uat/505
"ISM, Nebulae","(ISM:) dust, extinction",relatedMatch,Interstellar dust,http://astrothesaurus.org/uat/836
"ISM, Nebulae","(ISM:) dust, extinction",exactMatch,Interstellar dust extinction,http://astrothesaurus.org/uat/837
"ISM, Nebulae","(ISM:) dust, extinction",relatedMatch,Interstellar dust processes,http://astrothesaurus.org/uat/838
"ISM, Nebulae","(ISM:) dust, extinction",relatedMatch,Interstellar extinction,http://astrothesaurus.org/uat/841
"ISM, Nebulae",(ISM:) evolution,(no match),,
"ISM, Nebulae",(ISM:) Herbig-Haro objects,exactMatch,Herbig-Haro objects,http://astrothesaurus.org/uat/722
